T_thermocontroller T_self C D R X
40.06 -1 +3.36505E-011 +3.66200E-002 +1.72967E+004 -4.72331E+005
40.06 -1 +3.36624E-011 +3.66620E-002 +1.73104E+004 -4.72163E+005
41.83 -1 +3.36580E-011 +3.67425E-002 +1.73506E+004 -4.72221E+005
41.83 -1 +3.36684E-011 +3.64813E-002 +1.72223E+004 -4.72085E+005
41.83 -1 +3.36697E-011 +3.71292E-002 +1.75266E+004 -4.72044E+005
41.83 -1 +3.36616E-011 +3.70469E-002 +1.74921E+004 -4.72160E+005
41.83 -1 +3.36844E-011 +3.70147E-002 +1.74651E+004 -4.71843E+005
41.83 -1 +3.36835E-011 +3.67912E-002 +1.73604E+004 -4.71862E+005
41.83 -1 +3.37045E-011 +3.66189E-002 +1.72685E+004 -4.71575E+005
41.83 -1 +3.36998E-011 +3.72654E-002 +1.75750E+004 -4.71617E+005
41.83 -1 +3.37044E-011 +3.67567E-002 +1.73334E+004 -4.71571E+005
41.83 -1 +3.37100E-011 +3.71132E-002 +1.74982E+004 -4.71481E+005
41.83 -1 +3.36929E-011 +3.70612E-002 +1.74826E+004 -4.71722E+005
41.83 -1 +3.37325E-011 +3.66027E-002 +1.72466E+004 -4.71183E+005
41.83 -1 +3.37237E-011 +3.71928E-002 +1.75284E+004 -4.71286E+005
41.83 -1 +3.37185E-011 +3.68773E-002 +1.73829E+004 -4.71370E+005
41.83 -1 +3.37379E-011 +3.71882E-002 +1.75189E+004 -4.71088E+005
41.83 -1 +3.37278E-011 +3.69210E-002 +1.73986E+004 -4.71238E+005
41.83 -1 +3.37535E-011 +3.67838E-002 +1.73209E+004 -4.70884E+005
41.83 -1 +3.37503E-011 +3.73588E-002 +1.75926E+004 -4.70909E+005
41.83 -1 +3.37451E-011 +3.70268E-002 +1.74394E+004 -4.70993E+005
41.83 -1 +3.37613E-011 +3.73652E-002 +1.75899E+004 -4.70755E+005
41.83 -1 +3.37522E-011 +3.68856E-002 +1.73694E+004 -4.70899E+005
43.59 -1 +3.37783E-011 +3.71855E-002 +1.74967E+004 -4.70524E+005
43.59 -1 +3.37658E-011 +3.71900E-002 +1.75053E+004 -4.70698E+005
43.59 -1 +3.37801E-011 +3.72916E-002 +1.75455E+004 -4.70496E+005
43.59 -1 +3.37724E-011 +3.73113E-002 +1.75588E+004 -4.70603E+005
43.59 -1 +3.37848E-011 +3.67746E-002 +1.73005E+004 -4.70448E+005
43.59 -1 +3.37972E-011 +3.75119E-002 +1.76400E+004 -4.70250E+005
43.59 -1 +3.37948E-011 +3.71016E-002 +1.74488E+004 -4.70297E+005
43.59 -1 +3.38065E-011 +3.73232E-002 +1.75467E+004 -4.70128E+005
43.59 -1 +3.38016E-011 +3.73098E-002 +1.75429E+004 -4.70196E+005
43.59 -1 +3.38107E-011 +3.66850E-002 +1.72453E+004 -4.70090E+005
43.59 -1 +3.38241E-011 +3.74003E-002 +1.75736E+004 -4.69879E+005
43.59 -1 +3.38113E-011 +3.73935E-002 +1.75771E+004 -4.70057E+005
43.59 -1 +3.38321E-011 +3.72783E-002 +1.75124E+004 -4.69773E+005
43.59 -1 +3.38173E-011 +3.76922E-002 +1.77140E+004 -4.69964E+005
43.59 -1 +3.38304E-011 +3.69034E-002 +1.73376E+004 -4.69810E+005
45.5 -1 +3.38501E-011 +3.70160E-002 +1.73803E+004 -4.69533E+005
45.5 -1 +3.38430E-011 +3.78142E-002 +1.77577E+004 -4.69603E+005
45.5 -1 +3.38587E-011 +3.68970E-002 +1.73201E+004 -4.69417E+005
45.5 -1 +3.38706E-011 +3.75520E-002 +1.76205E+004 -4.69230E+005
45.5 -1 +3.38605E-011 +3.74097E-002 +1.75592E+004 -4.69374E+005
45.5 -1 +3.38876E-011 +3.73396E-002 +1.75123E+004 -4.69001E+005
45.5 -1 +3.38659E-011 +3.78003E-002 +1.77392E+004 -4.69286E+005
45.5 -1 +3.38762E-011 +3.72235E-002 +1.74639E+004 -4.69163E+005
45.5 -1 +3.38765E-011 +3.78614E-002 +1.77621E+004 -4.69136E+005
45.5 -1 +3.38888E-011 +3.72871E-002 +1.74872E+004 -4.68987E+005
45.5 -1 +3.38914E-011 +3.76000E-002 +1.76322E+004 -4.68940E+005
45.5 -1 +3.38942E-011 +3.73355E-002 +1.75070E+004 -4.68910E+005
45.5 -1 +3.39163E-011 +3.76163E-002 +1.76268E+004 -4.68594E+005
45.5 -1 +3.38915E-011 +3.78542E-002 +1.77509E+004 -4.68929E+005
45.5 -1 +3.39155E-011 +3.79494E-002 +1.77829E+004 -4.68594E+005
45.5 -1 +3.39376E-011 +3.81565E-002 +1.78680E+004 -4.68281E+005
45.5 -1 +3.39319E-011 +3.72851E-002 +1.74640E+004 -4.68391E+005
47.06 -1 +3.39563E-011 +3.76998E-002 +1.76450E+004 -4.68040E+005
47.06 -1 +3.39412E-011 +3.78226E-002 +1.77102E+004 -4.68244E+005
47.06 -1 +3.39634E-011 +3.77391E-002 +1.76597E+004 -4.67941E+005
47.06 -1 +3.39574E-011 +3.81613E-002 +1.78598E+004 -4.68008E+005
47.06 -1 +3.39523E-011 +3.73095E-002 +1.74649E+004 -4.68109E+005
47.06 -1 +3.39885E-011 +3.80016E-002 +1.77690E+004 -4.67585E+005
47.06 -1 +3.39562E-011 +3.81160E-002 +1.78393E+004 -4.68027E+005
47.06 -1 +3.39845E-011 +3.74724E-002 +1.75243E+004 -4.67660E+005
47.06 -1 +3.39863E-011 +3.79981E-002 +1.77686E+004 -4.67617E+005
47.06 -1 +3.39810E-011 +3.76169E-002 +1.75935E+004 -4.67703E+005
47.06 -1 +3.40025E-011 +3.80137E-002 +1.77673E+004 -4.67393E+005
47.06 -1 +3.39815E-011 +3.79527E-002 +1.77499E+004 -4.67683E+005
47.06 -1 +3.40121E-011 +3.77852E-002 +1.76558E+004 -4.67269E+005
47.06 -1 +3.39978E-011 +3.81628E-002 +1.78393E+004 -4.67452E+005
47.06 -1 +3.40108E-011 +3.75514E-002 +1.75476E+004 -4.67295E+005
47.06 -1 +3.40094E-011 +3.79897E-002 +1.77526E+004 -4.67299E+005
47.06 -1 +3.40252E-011 +3.78503E-002 +1.76794E+004 -4.67087E+005
47.06 -1 +3.40368E-011 +3.82631E-002 +1.78656E+004 -4.66913E+005
47.06 -1 +3.40136E-011 +3.80518E-002 +1.77793E+004 -4.67239E+005
47.06 -1 +3.40385E-011 +3.80040E-002 +1.77441E+004 -4.66899E+005
47.06 -1 +3.40301E-011 +3.81183E-002 +1.78016E+004 -4.67010E+005
48.9 -1 +3.40411E-011 +3.74941E-002 +1.75053E+004 -4.66881E+005
48.9 -1 +3.40604E-011 +3.83292E-002 +1.78839E+004 -4.66587E+005
48.9 -1 +3.40446E-011 +3.81327E-002 +1.78007E+004 -4.66811E+005
48.9 -1 +3.40635E-011 +3.79389E-002 +1.77007E+004 -4.66559E+005
48.9 -1 +3.40551E-011 +3.85548E-002 +1.79917E+004 -4.66651E+005
48.9 -1 +3.40615E-011 +3.76848E-002 +1.75836E+004 -4.66595E+005
48.9 -1 +3.40782E-011 +3.84268E-002 +1.79200E+004 -4.66340E+005
48.9 -1 +3.40675E-011 +3.82989E-002 +1.78661E+004 -4.66491E+005
48.9 -1 +3.40817E-011 +3.81064E-002 +1.77691E+004 -4.66303E+005
48.9 -1 +3.40691E-011 +3.83479E-002 +1.78880E+004 -4.66467E+005
48.9 -1 +3.40944E-011 +3.78665E-002 +1.76510E+004 -4.66139E+005
48.9 -1 +3.40884E-011 +3.85095E-002 +1.79531E+004 -4.66198E+005
48.9 -1 +3.40964E-011 +3.80899E-002 +1.77538E+004 -4.66104E+005
