T_thermocontroller T_self C D R X
32.88 -1 +5.14042E-011 +6.46967E-002 +1.99476E+004 -3.08324E+005
32.88 -1 +5.14058E-011 +6.47577E-002 +1.99656E+004 -3.08312E+005
32.88 -1 +5.14068E-011 +6.47592E-002 +1.99657E+004 -3.08306E+005
32.88 -1 +5.14063E-011 +6.47601E-002 +1.99661E+004 -3.08309E+005
32.88 -1 +5.14128E-011 +6.46602E-002 +1.99331E+004 -3.08274E+005
32.88 -1 +5.14147E-011 +6.47410E-002 +1.99570E+004 -3.08259E+005
32.88 -1 +5.14080E-011 +6.47616E-002 +1.99659E+004 -3.08299E+005
32.88 -1 +5.14141E-011 +6.47705E-002 +1.99663E+004 -3.08262E+005
32.88 -1 +5.14159E-011 +6.47632E-002 +1.99633E+004 -3.08251E+005
32.88 -1 +5.14167E-011 +6.46060E-002 +1.99150E+004 -3.08253E+005
32.88 -1 +5.14182E-011 +6.47305E-002 +1.99525E+004 -3.08239E+005
32.88 -1 +5.14193E-011 +6.46476E-002 +1.99267E+004 -3.08235E+005
32.88 -1 +5.14193E-011 +6.46762E-002 +1.99354E+004 -3.08234E+005
32.88 -1 +5.14208E-011 +6.47355E-002 +1.99530E+004 -3.08223E+005
32.88 -1 +5.14206E-011 +6.47056E-002 +1.99439E+004 -3.08226E+005
32.88 -1 +5.14267E-011 +6.46305E-002 +1.99186E+004 -3.08192E+005
33.28 -1 +5.14237E-011 +6.46426E-002 +1.99235E+004 -3.08210E+005
33.28 -1 +5.14300E-011 +6.45858E-002 +1.99037E+004 -3.08174E+005
33.28 -1 +5.14271E-011 +6.45853E-002 +1.99046E+004 -3.08191E+005
33.28 -1 +5.14249E-011 +6.46536E-002 +1.99263E+004 -3.08201E+005
33.28 -1 +5.14295E-011 +6.45671E-002 +1.98982E+004 -3.08178E+005
33.28 -1 +5.14319E-011 +6.46725E-002 +1.99294E+004 -3.08159E+005
33.28 -1 +5.14321E-011 +6.45234E-002 +1.98838E+004 -3.08164E+005
33.28 -1 +5.14392E-011 +6.46013E-002 +1.99048E+004 -3.08118E+005
33.28 -1 +5.14312E-011 +6.46329E-002 +1.99176E+004 -3.08165E+005
33.28 -1 +5.14387E-011 +6.46234E-002 +1.99118E+004 -3.08120E+005
33.28 -1 +5.14371E-011 +6.47159E-002 +1.99406E+004 -3.08126E+005
33.28 -1 +5.14401E-011 +6.45310E-002 +1.98830E+004 -3.08116E+005
33.28 -1 +5.14388E-011 +6.45379E-002 +1.98856E+004 -3.08123E+005
33.28 -1 +5.14481E-011 +6.45673E-002 +1.98910E+004 -3.08066E+005
33.28 -1 +5.14348E-011 +6.46394E-002 +1.99181E+004 -3.08143E+005
33.28 -1 +5.14498E-011 +6.45587E-002 +1.98877E+004 -3.08056E+005
33.28 -1 +5.14461E-011 +6.45759E-002 +1.98944E+004 -3.08078E+005
33.28 -1 +5.14482E-011 +6.46184E-002 +1.99066E+004 -3.08063E+005
33.28 -1 +5.14452E-011 +6.46702E-002 +1.99236E+004 -3.08079E+005
33.28 -1 +5.14474E-011 +6.45498E-002 +1.98859E+004 -3.08071E+005
33.28 -1 +5.14526E-011 +6.45469E-002 +1.98830E+004 -3.08040E+005
33.55 -1 +5.14541E-011 +6.47460E-002 +1.99433E+004 -3.08023E+005
33.55 -1 +5.14499E-011 +6.45237E-002 +1.98770E+004 -3.08057E+005
33.55 -1 +5.14577E-011 +6.45743E-002 +1.98894E+004 -3.08008E+005
33.55 -1 +5.14565E-011 +6.45601E-002 +1.98856E+004 -3.08016E+005
33.55 -1 +5.14586E-011 +6.46676E-002 +1.99176E+004 -3.08000E+005
33.55 -1 +5.14607E-011 +6.46032E-002 +1.98971E+004 -3.07990E+005
33.55 -1 +5.14557E-011 +6.46327E-002 +1.99080E+004 -3.08018E+005
33.55 -1 +5.14582E-011 +6.45670E-002 +1.98870E+004 -3.08006E+005
33.55 -1 +5.14631E-011 +6.46875E-002 +1.99219E+004 -3.07972E+005
33.55 -1 +5.14598E-011 +6.45380E-002 +1.98775E+004 -3.07997E+005
33.55 -1 +5.14662E-011 +6.46526E-002 +1.99101E+004 -3.07954E+005
33.55 -1 +5.14614E-011 +6.45970E-002 +1.98949E+004 -3.07986E+005
33.55 -1 +5.14670E-011 +6.45029E-002 +1.98640E+004 -3.07956E+005
33.55 -1 +5.14685E-011 +6.45625E-002 +1.98817E+004 -3.07944E+005
33.55 -1 +5.14654E-011 +6.45012E-002 +1.98641E+004 -3.07965E+005
33.55 -1 +5.14754E-011 +6.44824E-002 +1.98545E+004 -3.07906E+005
33.55 -1 +5.14694E-011 +6.46157E-002 +1.98975E+004 -3.07936E+005
33.55 -1 +5.14690E-011 +6.45597E-002 +1.98806E+004 -3.07941E+005
33.55 -1 +5.14737E-011 +6.45883E-002 +1.98875E+004 -3.07912E+005
33.55 -1 +5.14694E-011 +6.45944E-002 +1.98910E+004 -3.07937E+005
33.55 -1 +5.14756E-011 +6.45267E-002 +1.98680E+004 -3.07903E+005
33.96 -1 +5.14781E-011 +6.46285E-002 +1.98981E+004 -3.07884E+005
33.96 -1 +5.14707E-011 +6.44368E-002 +1.98424E+004 -3.07936E+005
33.96 -1 +5.14851E-011 +6.45482E-002 +1.98709E+004 -3.07845E+005
33.96 -1 +5.14853E-011 +6.45645E-002 +1.98758E+004 -3.07844E+005
33.96 -1 +5.14754E-011 +6.43752E-002 +1.98218E+004 -3.07910E+005
33.96 -1 +5.14848E-011 +6.46553E-002 +1.99037E+004 -3.07843E+005
33.96 -1 +5.14834E-011 +6.44233E-002 +1.98334E+004 -3.07861E+005
33.96 -1 +5.14862E-011 +6.45361E-002 +1.98668E+004 -3.07839E+005
33.96 -1 +5.14879E-011 +6.45985E-002 +1.98852E+004 -3.07827E+005
33.96 -1 +5.14862E-011 +6.45681E-002 +1.98765E+004 -3.07838E+005
33.96 -1 +5.14888E-011 +6.45066E-002 +1.98568E+004 -3.07825E+005
33.96 -1 +5.14932E-011 +6.45246E-002 +1.98605E+004 -3.07798E+005
33.96 -1 +5.15004E-011 +6.45014E-002 +1.98507E+004 -3.07756E+005
33.96 -1 +5.14995E-011 +6.45462E-002 +1.98647E+004 -3.07760E+005
33.96 -1 +5.14942E-011 +6.44979E-002 +1.98520E+004 -3.07793E+005
33.96 -1 +5.15045E-011 +6.45041E-002 +1.98499E+004 -3.07731E+005
33.96 -1 +5.14997E-011 +6.44741E-002 +1.98426E+004 -3.07761E+005
33.96 -1 +5.14969E-011 +6.43659E-002 +1.98107E+004 -3.07782E+005
33.96 -1 +5.15036E-011 +6.43718E-002 +1.98099E+004 -3.07742E+005
33.96 -1 +5.14975E-011 +6.44756E-002 +1.98439E+004 -3.07774E+005
34.37 -1 +5.15036E-011 +6.44559E-002 +1.98356E+004 -3.07738E+005
34.37 -1 +5.15070E-011 +6.45165E-002 +1.98527E+004 -3.07716E+005
34.37 -1 +5.14975E-011 +6.45196E-002 +1.98573E+004 -3.07772E+005
34.37 -1 +5.15005E-011 +6.44053E-002 +1.98213E+004 -3.07759E+005
34.37 -1 +5.15083E-011 +6.44244E-002 +1.98241E+004 -3.07712E+005
34.37 -1 +5.15018E-011 +6.43660E-002 +1.98088E+004 -3.07753E+005
34.37 -1 +5.15101E-011 +6.43525E-002 +1.98015E+004 -3.07704E+005
34.37 -1 +5.15028E-011 +6.44695E-002 +1.98400E+004 -3.07743E+005
34.37 -1 +5.15120E-011 +6.43814E-002 +1.98096E+004 -3.07691E+005
34.37 -1 +5.15134E-011 +6.44296E-002 +1.98238E+004 -3.07681E+005
34.37 -1 +5.15126E-011 +6.44557E-002 +1.98320E+004 -3.07685E+005
34.37 -1 +5.15160E-011 +6.43886E-002 +1.98103E+004 -3.07667E+005
34.37 -1 +5.15175E-011 +6.44324E-002 +1.98230E+004 -3.07656E+005
34.37 -1 +5.15114E-011 +6.43068E-002 +1.97871E+004 -3.07698E+005
